"Kod";"Nazwa";"ogółem;ogółem;2017;[osoba]";"ogółem;ogółem;2018;[osoba]";"ogółem;ogółem;2019;[osoba]";"ogółem;ogółem;2020;[osoba]";"ogółem;ogółem;2021;[osoba]";"ogółem;mężczyźni;2017;[osoba]";"ogółem;mężczyźni;2018;[osoba]";"ogółem;mężczyźni;2019;[osoba]";"ogółem;mężczyźni;2020;[osoba]";"ogółem;mężczyźni;2021;[osoba]";"ogółem;kobiety;2017;[osoba]";"ogółem;kobiety;2018;[osoba]";"ogółem;kobiety;2019;[osoba]";"ogółem;kobiety;2020;[osoba]";"ogółem;kobiety;2021;[osoba]";"ogółem (Polska = 100);ogółem;2017;[%]";"ogółem (Polska = 100);ogółem;2018;[%]";"ogółem (Polska = 100);ogółem;2019;[%]";"ogółem (Polska = 100);ogółem;2020;[%]";"ogółem (Polska = 100);ogółem;2021;[%]";"ogółem (Polska = 100);mężczyźni;2017;[%]";"ogółem (Polska = 100);mężczyźni;2018;[%]";"ogółem (Polska = 100);mężczyźni;2019;[%]";"ogółem (Polska = 100);mężczyźni;2020;[%]";"ogółem (Polska = 100);mężczyźni;2021;[%]";"ogółem (Polska = 100);kobiety;2017;[%]";"ogółem (Polska = 100);kobiety;2018;[%]";"ogółem (Polska = 100);kobiety;2019;[%]";"ogółem (Polska = 100);kobiety;2020;[%]";"ogółem (Polska = 100);kobiety;2021;[%]";
0200000;"DOLNOŚLĄSKIE";68813;62842;56022;68822;58738;31508;27909;25287;32130;27631;37305;34933;30735;36692;31107;6,4;6,5;6,5;6,6;6,6;6,5;6,5;6,5;6,6;6,7;6,3;6,4;6,4;6,5;6,5;
0400000;"KUJAWSKO-POMORSKIE";81543;72655;64060;73482;61861;32718;28440;25490;30593;25273;48825;44215;38570;42889;36588;7,5;7,5;7,4;7,0;6,9;6,7;6,7;6,6;6,3;6,1;8,2;8,1;8,0;7,6;7,6;
0600000;"LUBELSKIE";81221;74449;69379;76505;66244;39766;35817;33339;37795;32916;41455;38632;36040;38710;33328;7,5;7,7;8,0;7,3;7,4;8,2;8,4;8,6;7,8;8,0;7,0;7,1;7,5;6,9;6,9;
0800000;"LUBUSKIE";24605;22201;18498;23674;18158;10111;9086;7605;10274;7834;14494;13115;10893;13400;10324;2,3;2,3;2,1;2,3;2,0;2,1;2,1;2,0;2,1;1,9;2,4;2,4;2,3;2,4;2,1;
1000000;"ŁÓDZKIE";72662;66036;58722;67812;60902;35028;30816;27568;33180;30288;37634;35220;31154;34632;30614;6,7;6,8;6,8;6,5;6,8;7,2;7,2;7,1;6,8;7,3;6,3;6,5;6,5;6,2;6,4;
1200000;"MAŁOPOLSKIE";79430;71489;62610;83050;69948;34709;30332;27078;37858;31879;44721;41157;35532;45192;38069;7,3;7,4;7,2;7,9;7,8;7,1;7,1;7,0;7,8;7,7;7,5;7,6;7,4;8,0;7,9;
1400000;"MAZOWIECKIE";154068;136545;123208;146375;129248;75250;65440;59684;72353;63966;78818;71105;63524;74022;65282;14,2;14,1;14,2;14,0;14,4;15,5;15,4;15,4;14,9;15,5;13,2;13,1;13,3;13,2;13,5;
1600000;"OPOLSKIE";26066;22663;20948;24976;21535;11060;9316;8870;11161;9317;15006;13347;12078;13815;12218;2,4;2,3;2,4;2,4;2,4;2,3;2,2;2,3;2,3;2,3;2,5;2,5;2,5;2,5;2,5;
1800000;"PODKARPACKIE";90972;82933;75455;87326;77291;42353;37909;35171;41290;36201;48619;45024;40284;46036;41090;8,4;8,6;8,7;8,3;8,6;8,7;8,9;9,1;8,5;8,8;8,2;8,3;8,4;8,2;8,5;
2000000;"PODLASKIE";39997;36786;33277;37830;33374;21136;19262;17460;20275;18032;18861;17524;15817;17555;15342;3,7;3,8;3,8;3,6;3,7;4,3;4,5;4,5;4,2;4,4;3,2;3,2;3,3;3,1;3,2;
2200000;"POMORSKIE";49653;46082;41817;56216;47682;18744;16971;15547;22953;19063;30909;29111;26270;33263;28619;4,6;4,8;4,8;5,4;5,3;3,9;4,0;4,0;4,7;4,6;5,2;5,4;5,5;5,9;5,9;
2400000;"ŚLĄSKIE";94687;80079;66521;91032;76324;40189;33318;28895;41181;34542;54498;46761;37626;49851;41782;8,8;8,3;7,7;8,7;8,5;8,3;7,8;7,5;8,5;8,4;9,2;8,6;7,8;8,9;8,7;
2600000;"ŚWIĘTOKRZYSKIE";46570;44118;42042;44881;38035;22345;20885;19899;21831;18370;24225;23233;22143;23050;19665;4,3;4,6;4,9;4,3;4,2;4,6;4,9;5,1;4,5;4,4;4,1;4,3;4,6;4,1;4,1;
2800000;"WARMIŃSKO-MAZURSKIE";60003;53141;45731;51475;42567;26186;22447;19222;23040;18548;33817;30694;26509;28435;24019;5,5;5,5;5,3;4,9;4,8;5,4;5,3;5,0;4,8;4,5;5,7;5,7;5,5;5,1;5,0;
3000000;"WIELKOPOLSKIE";58857;50867;46313;60958;49850;23091;19415;18327;25410;20250;35766;31452;27986;35548;29600;5,4;5,3;5,3;5,8;5,6;4,7;4,6;4,7;5,2;4,9;6,0;5,8;5,8;6,3;6,1;
3200000;"ZACHODNIOPOMORSKIE";52599;46002;41771;52018;43446;22022;18883;17517;23502;19158;30577;27119;24254;28516;24288;4,9;4,7;4,8;5,0;4,9;4,5;4,4;4,5;4,8;4,6;5,1;5,0;5,1;5,1;5,0;
